rally_uid,actionId,pointId,serverGetPoint
15188,4,9,0.9992151260375977
15191,8,6,0.9993547797203064
15194,13,8,0.0002474765060469508
15198,6,8,0.0002908538153860718
15201,4,2,0.9991511106491089
15204,4,9,0.9992985725402832
15207,8,9,0.9992259740829468
15210,5,0,0.9996680021286011
15213,0,0,0.9998691082000732
15217,5,0,0.9998328685760498
15220,1,8,0.9997269511222839
15223,13,0,0.9997925162315369
15226,1,7,0.0002759528870228678
15229,6,9,0.9998218417167664
15232,8,9,0.00024689294514246285
15235,4,1,0.9993919134140015
15238,4,2,0.9990007281303406
15242,8,9,0.9991821646690369
15245,0,0,0.9998766183853149
15249,6,8,0.9998026490211487
15253,6,0,0.9996316432952881
15256,4,1,0.9991512298583984
15259,9,0,0.9988969564437866
15263,14,7,0.9995232820510864
15267,0,0,0.9998816251754761
15271,8,9,0.999377429485321
15274,6,7,0.00017310699331574142
15277,4,1,0.9983660578727722
15281,11,7,0.0005510426708497107
15284,13,0,0.00028267205925658345
15287,14,7,0.0007451947894878685
15291,8,7,0.0007192878983914852
15294,0,0,0.9997801184654236
15295,2,0,0.0002149807842215523
15299,1,7,0.9993622899055481
15303,2,0,0.00019981332297902554
15306,1,7,0.00029901793459430337
15310,4,2,0.9984148740768433
15312,4,1,0.9991255402565002
15316,2,0,0.99982750415802
15319,13,0,0.00020601111464202404
15323,5,0,0.9997732043266296
15327,0,0,0.9995176792144775
15329,2,0,0.0002149807842215523
15335,2,0,0.0003571149136405438
15338,4,1,0.9993135929107666
15344,13,0,0.00019112692098133266
15347,2,0,0.999546468257904
15350,2,0,0.0003935095446649939
15354,1,8,0.9996901750564575
15358,2,0,0.9998791217803955
15362,2,0,0.9997954964637756
15366,14,3,0.1657351553440094
15370,9,7,0.9997914433479309
15374,8,9,0.9991605281829834
15377,8,6,0.0003007467894349247
15381,4,9,0.9991135001182556
15384,4,9,0.9990309476852417
15387,4,4,0.9991003274917603
15390,9,6,0.9977571368217468
15393,9,7,0.9992714524269104
15397,13,0,0.9998371601104736
15401,1,9,0.0005603405297733843
15403,8,8,0.9998295307159424
15406,9,0,0.9998168349266052
15410,4,4,0.9993577599525452
15413,9,6,0.9996941089630127
15416,9,7,0.00038513506297022104
15418,13,0,0.9998705387115479
15422,14,0,0.9998753070831299
15426,9,7,0.9997863173484802
15430,4,1,0.9987370371818542
15433,6,9,0.0001832562847994268
15436,9,6,0.0008475212962366641
15440,9,7,0.9993875026702881
15442,7,2,0.00030563550535589457
15446,13,0,0.00031761263380758464
15450,11,2,0.9993374943733215
15454,0,0,0.9998366832733154
15457,2,0,0.00020806574320886284
15460,14,8,0.0016888597747310996
15463,0,0,0.00018599792383611202
15466,2,7,0.00031801711884327233
15470,7,2,0.9998082518577576
15474,4,3,0.9990262985229492
15478,2,0,0.00044718856224790215
15482,2,0,0.9999147653579712
15485,3,7,0.0003622003714554012
15488,4,3,0.9993473887443542
15492,4,1,0.9986423850059509
15495,4,3,0.9991658926010132
15498,7,1,0.00044292741222307086
15501,11,1,0.9988932013511658
15504,2,9,0.0002252861304441467
15507,6,9,0.00031432555988430977
15511,11,2,0.9987208247184753
15514,13,9,0.0002366185508435592
15518,2,0,0.0002973579685203731
15522,0,0,0.9998407363891602
15523,10,5,0.999711811542511
15527,12,6,0.05273742973804474
15530,3,5,0.0009209912968799472
15533,3,5,0.001580357551574707
15537,3,5,0.007170948199927807
15541,7,2,0.9990019202232361
15543,12,5,0.9993414282798767
15547,10,4,0.9993385672569275
15551,3,5,0.0011836771154776216
15554,3,5,0.9944585561752319
15558,12,5,0.029701054096221924
15561,10,6,0.0013924005907028913
15563,10,3,0.9988287091255188
15566,12,5,0.9996669292449951
15569,3,5,0.004748017527163029
15573,7,3,0.9990204572677612
15576,3,5,0.9994520545005798
15579,3,5,0.9995658993721008
15583,12,3,0.0008647622307762504
15585,7,3,0.999037504196167
15588,3,6,0.9977341890335083
15592,12,5,0.00044997312943451107
15596,3,2,0.922217845916748
15599,12,5,0.99892657995224
15602,1,2,0.9997685551643372
15603,3,5,0.9994564652442932
15607,12,5,0.32127469778060913
15610,10,5,0.000328162859659642
15613,12,5,0.9996691942214966
15616,10,5,0.9995372295379639
15619,12,5,0.033816125243902206
15622,12,5,0.0020878331270068884
15626,9,9,0.9990179538726807
15629,14,4,0.9996788501739502
15632,10,4,0.00039113187813200057
15635,12,0,0.999419093132019
15639,8,6,0.99901282787323
15641,12,5,0.9993196725845337
15645,8,4,0.0003426074981689453
15649,9,6,0.9992384910583496
15652,3,4,0.9973570108413696
15655,8,6,0.9988967180252075
15659,12,0,0.0004155038914177567
15660,12,7,0.0002833052712958306
15664,12,4,0.0005554743693210185
15668,10,2,0.9991318583488464
15672,10,6,0.9990209341049194
15675,8,5,0.9991933703422546
15678,12,6,0.0583399161696434
15681,8,6,0.9990966320037842
15684,12,0,0.9985650181770325
15688,8,4,0.00028530159033834934
15691,3,7,0.9994187355041504
15694,10,2,0.0004743903409689665
15695,7,4,0.9984139204025269
15704,6,8,0.00025482120690867305
15707,8,7,0.0002663084596861154
15710,10,5,0.9993072748184204
15713,5,8,0.9995720982551575
15720,8,9,0.9992853999137878
15723,6,9,0.00031488825334236026
15727,6,9,0.9987205862998962
15731,7,4,0.9989269375801086
15732,13,0,0.9998040795326233
15735,5,9,0.9977278113365173
15739,6,8,0.9994945526123047
15742,13,8,0.0002563530288171023
15746,6,8,0.00022791071387473494
15748,12,0,0.0001990306773222983
15751,9,9,0.9984999895095825
15754,1,5,0.9996670484542847
15757,8,4,0.000331760267727077
15761,8,5,0.9991866946220398
15765,7,9,0.9985929131507874
15769,2,8,0.0001670984784141183
15773,10,4,0.9990677237510681
15777,1,8,0.00023677630815654993
15780,8,7,0.00036018379614688456
15783,8,7,0.0003836268442682922
15786,0,0,0.9986365437507629
15789,2,9,0.0001993662881432101
15793,1,8,0.00022761774016544223
15796,9,9,0.9982978701591492
15799,8,7,0.00026054613408632576
15802,7,5,0.9986202716827393
15805,8,9,0.999232292175293
